Unnamed: 0,Municipio,Total Abandono Escolar,Região,UF,Acesso à internet para alunos,Quantidade de tablets para alunos,Acesso ao Laboratório de informática,Acesso à Biblioteca,Acesso à Alimentação,Acesso ao Refeitório,Acesso à Água potável,Acesso à Energia elétrica da rede pública,Acesso à Esgoto da rede pública,Acesso ao Banheiro,Acesso à Quadra de esportes
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Não,Não,Não,Não,Não,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"20,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"1,0",Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"26,0",Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"13,0",Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"20,0",Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"1,0",Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"12,0",Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"45,0",Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"40,0",Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"5,0",Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"0,0",Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"47,0",Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Sim,"11,0",Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"8,0",Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
18,AMERICANA,"3,17",Sudeste,São Paulo,Não,"0,0",Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não
